,TenBaiHat,TacGia,TheLoai,,
32,Thế Giới Tự Dưng Đứng Yên,Trương Thảo Nhi,0,,
33,Hạnh Phúc Máu,Ali Hoàng Dương,0,,
34,Thiên Tài,ERIK,0,,
35,Beautiful Monster,"SOOBIN, Binz",0,,
36,A Veil Of Mist,SpaceSpeakers,0,,
37,Umee,H2K,0,,
38,Nxde,(G)I-DLE,0,,
39,Cao Gót,SOOBIN,0,,
40,Tiếng Hát Giữa Rừng Pác Bó,"Đặng Hồng Nhung, Ngọc Mai",1,,
41,Đảng Đã Cho Ta Một Mùa Xuân,V.A,1,,
42,Vì Tổ Quốc Việt Nam Thiêng Liêng,Bằng Cường,1,,
43,Bác Hồ Một Tình Yêu Bao La,Hà Chi,1,,
44,Nhạc Rừng,Khánh Linh,1,,
45,Nổi Lửa Lên Em (Live),Thanh Hằng,1,,
46,LK Giai Điệu Tổ Quốc,V.A,1,,
47,Đất Nước Tôi,Ya Suy,1,,
48,Liên Khúc Nam Bộ Kháng Chiến – Tiếng Hát Đầu Quân,Tình Ca Việt,1,,
49,Thăm Làng Sen Quê Bác,Lê Tuyền,1,,
50,Bước Chân Trên Dãy Trường Sơn (Version 2005),V.A,1,,
51,Chưa Hết Giặc Ta Chưa Về,Tình Ca Việt,1,,
52,Chiến Đấu Vì Độc Lập Tự Do,"Tiến Thành, Bạch Kim",1,,
53,Bài Ca Hà Nội,BLP,1,,
54,Bài Ca Người Giáo Viên Nhân Dân,Dương Quốc Hưng,1,,
55,Thắp Sáng Lửa Hồng,Tốp Ca,1,,
56,Anh Quân Bưu Vui Tính,F5,1,,
57,Mùa Xuân Của Lính,"Nguyễn Tuấn, Nhóm Nhịp Sống Trẻ",1,,
58,Linh Thiêng Việt Nam,Trung Kiên,1,,
59,Tiếng Chày Trên Sóc Bom Bo,"Hương Ly, Hồng Nhung (Dân Ca), Hồng Lụa",1,,
60,Hành Khúc Sư Đoàn 314,V.A,1,,
61,Tuổi Trẻ Thế Hệ Bác Hồ,Tốp Ca CLB Giai Điệu Đỏ,1,,
62,Thênh Thang Đường Mới,Vũ Thắng Lợi,1,,
63,Đêm Nghe Hát Đò Đưa Nhớ Bác,Lê Mận,1,,
64,Tự Hào Người Chiến Sĩ Sư Đoàn 5,Nguyễn Tuấn,1,,
65,Người Đi Xây Hồ Kẻ Gỗ,"Bùi Thắng, Trần Nữ Hạnh",1,,
66,Tổ Quốc Gọi Tên Mình,Đàm Vĩnh Hưng,1,,
67,Mùa Xuân Âm Vang Thần Tốc,Tốp Ca,1,,
68,Vững Bước Dưới Cờ Đảng,CLB Ngôi Sao Trẻ,1,,
69,Đất Nước Tôi Hôm Nay,"Nguyễn Tuấn, Nhóm Nhịp Sống Trẻ",1,,
70,Tình Trong Lá Thiếp,"Huỳnh Chín, Thu Hiền (NSND)",1,,
71,Quê Hương Tôi Bà Rịa Vũng Tàu,Nguyễn Tuấn,1,,
72,Thành Phố Xanh Sạch Đẹp,"Nguyễn Tuấn, Nhóm Nhịp Sống Trẻ",1,,
73,Bản Tình Ca Cao Nguyên,Tiến Lâm,1,,
74,Đất Nước Trọn Niềm Vui,V.A,1,,
75,"Chào Đại Thắng Mùa Xuân, Chào Việt Nam Vinh Quang",CLB Giai Điệu Trẻ TP Cần Thơ,1,,
76,Tàu Anh Qua Núi (Cover),Nguyễn Phương Hằng,1,,
77,Đất Thiêng,Vũ Thắng Lợi,1,,
78,Khúc Quân Hành Ngành Y Chống Dịch,"Xuân Hảo, Tốp Ca",1,,
79,Đồng Đội Ơi,Lê Trung Hiền,1,,
80,Mấy Khi,Ngọt,2,,
81,Để Được Thả Trôi,Giấy Gấp,2,,
82,Cuối Ngày (Có Nhau Ver.),The Flob,2,,
83,Nhật Kí,One Game,2,,
84,Cuối Ngày,The Flob,2,,
85,Chơi Đi! Chơi! Đi Chơi!,Jaigon Orchestra,2,,
86,Cà Lem Kem Chuối,Đá Số Tới,2,,
87,Muốn Bên Anh Bây Giờ,Tuyên,2,,
88,Bạc Đầu,Jaigon Orchestra,2,,
89,December,The Cassette,2,,
90,Cơn Mưa Tháng 5 (Live),Bức Tường,2,,
91,We Are Unstoppable,"Tuấn Khanh, Blacka, Triple D",2,,
92,Mashup Mắt Đen Bông Hồng Thủy Tinh (Live),Bức Tường,2,,
93,Lần Cuối (Đi Bên Em Xót Xa Người Ơi),Ngọt,2,,
94,Dở Hơi,Xanh 8+1,2,,
95,"Gia Đình Dấu Yêu (From From""Gia Đình Bất Đắc Dĩ"")",Đỗ Thụy Khanh,2,,
96,Yêu,7UPPERCUTS,2,,
97,Trúc Mai,Jaigon Orchestra,2,,
98,Khoảng Cách,The Cassette,2,,
99,Bài Thánh Ca Khó,Jaigon Orchestra,2,,
100,Ánh Đèn Phố,The Cassette,2,,
101,Hồng (Intro),Jaigon Orchestra,2,,
102,Bùa Chú,"Jaigon Orchestra, Juan Phi",2,,
103,Tựa Đêm Nay,The Cassette,2,,
104,Sống,The A Plan,2,,
105,Espresso,The Cassette,2,,
106,Làm Sao Làm Sao Giờ Không Biết Luôn Á Đau Lòng Thiệt,DÍNH,2,,
107,Con Đường Không Tên,Bức Tường,2,,
108,Ngồi Đây Chi,X-Boyfriend,2,,
109,Thang 10,Bức Tường,2,,
110,Cá Rô,The Cassette,2,,
111,Rừng Đom Đóm,The Cassette,2,,
112,Vùng Đất Linh Hồn,The Cassette,2,,
113,Nắng,The Cassette,2,,
114,Mùa Đông Ở Lại,Bức Tường,2,,
115,Ly Cafe Không Đường,Bức Tường,2,,
116,Interlude: 9:00 Pm,The Cassette,2,,
117,Binh Yen,Bức Tường,2,,
118,Cô Ấy,Cá Hồi Hoang,2,,
119,Là Tất Cả,Đá Số Tới,2,,
120,Như Một Lời Chia Tay (Giao Lộ Thời Gian),Khánh Ly,3,,
121,Ru Ta Ngậm Ngùi,Mộc San,3,,
122,Biển Nhớ,Mộc San,3,,
123,Nhìn Những Mùa Thu Đi (Em Và Trịnh Original Soundtrack),Bùi Lan Hương,3,,
124,Mưa Hồng,"Hoàng Duyên, Obito",3,,
125,Nhìn Những Mùa Thu Đi,Mỹ Anh,3,,
126,Diễm Xưa,"Lệ Hồng, Thiên An",3,,
127,Mưa Hồng (Em Và Trịnh Original Soundtrack),Bùi Lan Hương,3,,
128,Nắng Thủy Tinh,Hoàng Dũng,3,,
129,Hạ Trắng (Em Và Trịnh Original Soundtrack),Bùi Lan Hương,3,,
130,Dấu Chân Địa Đàng,"Lệ Hồng, Thiên An",3,,
131,Nắng Thủy Tinh (Em Và Trịnh Original Soundtrack),"Avin Lu, Hoàng Hà",3,,
132,Diễm Xưa,Kiên Trịnh,3,,
133,Tình Nhớ,Phan Mạnh Quỳnh,3,,
134,Còn Tuổi Nào Cho Em (Em Và Trịnh Original Soundtrack),Bùi Lan Hương,3,,
135,Biển Nhớ,"Lệ Hồng, Thiên An",3,,
136,Tuổi Đá Buồn,Juky San,3,,
137,Chiều Một Mình Qua Phố,"Lệ Hồng, Thiên An",3,,
138,Diễm Xưa (Em Và Trịnh Original Soundtrack),Akari Nakatani,3,,
139,Cát Bụi,"Lệ Hồng, Thiên An",3,,
140,Nắng Thủy Tinh,"Avin Lu, Suni Hạ Linh",3,,
141,Xin Cho Tôi,"Lệ Hồng, Thiên An",3,,
142,Còn Tuổi Nào Cho Em,"Lệ Hồng, Thiên An",3,,
143,Chiếc Lá Thu Phai,"Lệ Hồng, Thiên An",3,,
144,Ca Dao Mẹ,"Lệ Hồng, Thiên An",3,,
145,Ướt Mi (Em Và Trịnh Original Soundtrack),Nhật Linh,3,,
146,Tình Sầu (Em Và Trịnh Original Soundtrack),Avin Lu,3,,
147,Mỗi Ngày Tôi Chọn Một Niềm Vui,"Bùi Lan Hương, Avin Lu",3,,
148,Mưa Hồng,"Lệ Hồng, Thiên An",3,,
149,Phôi Pha,"Lệ Hồng, Thiên An",3,,
150,Quỳnh Hương,"Mew Amazing, G.Ducky, Orange",3,,
151,Nhìn Những Mùa Thu Đi Cover,Tú,3,,
152,Còn Tuổi Nào Cho Em Cover,Đỗ Ngọc,3,,
153,Diễm Xưa,Lệ Quyên,3,,
154,Cát Bụi (Cover),Nguyễn Phương Hằng,3,,
155,Ướt Mi,Lệ Quyên,3,,
156,Còn Tuổi Nào Cho Em,Lệ Quyên,3,,
157,Mưa Hồng,"Hà Lê, Bùi Lan Hương",3,,
158,Mưa Hồng,Lệ Quyên,3,,
159,Chiều Một Mình Qua Phố,Lân Nhã,3,,
160,Tuyết Rơi Mùa Hè (25th Làn Sóng Xanh),Văn Mai Hương,0,,
161,Đoạn Kết Mới (Piano Version),Hoàng Dũng,0,,
162,Sau Lưng Anh Có Ai Kìa (Winter Version),Thiều Bảo Trâm,0,,
163,Buồn Không Thể Buông,"Trung Quân, MiiNa (DREAMeR), DREAMeR",0,,
164,Tình Yêu Đến Sau,Myra Trần,0,,
165,Hạnh Phúc Máu,Võ Hạ Trâm,0,,
166,Missing You,Rin,0,,
167,Khác Biệt To Lớn (XHTDRLX2),"Anh Tú, Orange",0,,
168,Anh Không Thể Ngờ (Liam Lofi),"Đinh Tùng Huy, ACV",0,,
169,Đã Đến Lúc,Shin Hồng Vịnh,0,,
170,All I Want For Christmas Is You,Mariah Carey,0,,
171,Pick Out A Christmas Tree,Dan + Shay,0,,
172,Funky Glitter Christmas,NMIXX,0,,
173,Fall In Love Alone,Stacey Ryan,0,,
174,Hidamarinokimi,Sonar Pocket,0,,
175,Hồi Kết,Hà Nhi,0,,
176,Đến Giờ Cơm (XHTDRLX2),Ái Phương,0,,
177,Cô Đơn Trên Sofa,Hồ Ngọc Hà,0,,
178,Người Như Anh,Mai Tiến Dũng,0,,
179,dự báo thời tiết hôm nay mưa,GREY D,0,,
180,Vì Lỡ Yêu Em Rồi,Rum,0,,
181,Thất Tình Thường Xấu Tính,"Lyly, Ricky Star",0,,
182,906090,"Tóc Tiên, Mew Amazing",0,,
183,"Dừng Lại Và Quên Thôi (Original Soundtrack From ""Kẻ Độc Hành"")",Trung Quân,0,,
184,Hối Tiếc,Giang Hồng Ngọc,0,,
185,Kết Thúc Bắt Đầu,"Da LAB, Đức Phúc",0,,
186,Chấp Niệm,Trương Thảo Nhi,0,,
187,Cuộc Gọi Về Nhà (XHTDRLX2),Orange,0,,
188,Lu Mờ Tâm Trí,"Ngô Kiến Huy, Vương Anh Tú",0,,
189,Groove Missing,J.Y. Park,0,,
190,Lời Có Cánh,Osad,0,,
191,Đến Giờ Cơm (XHTDRLX2),Ái Phương,0,,
192,Thế Giới Tự Dưng Đứng Yên,Trương Thảo Nhi,0,,
193,Hạnh Phúc Máu,Ali Hoàng Dương,0,,
194,Thiên Tài,ERIK,0,,
195,Beautiful Monster,"SOOBIN, Binz",0,,
196,A Veil Of Mist,SpaceSpeakers,0,,
197,Umee,H2K,0,,
198,Nxde,(G)I-DLE,0,,
199,Cao Gót,SOOBIN,0,,
200,Tuyết Rơi Mùa Hè (25th Làn Sóng Xanh),Văn Mai Hương,0,,
201,Đoạn Kết Mới (Piano Version),Hoàng Dũng,0,,
202,Sau Lưng Anh Có Ai Kìa (Winter Version),Thiều Bảo Trâm,0,,
203,Buồn Không Thể Buông,"Trung Quân, MiiNa (DREAMeR), DREAMeR",0,,
204,Tình Yêu Đến Sau,Myra Trần,0,,
205,Hạnh Phúc Máu,Võ Hạ Trâm,0,,
206,Missing You,Rin,0,,
207,Khác Biệt To Lớn (XHTDRLX2),"Anh Tú, Orange",0,,
208,Anh Không Thể Ngờ (Liam Lofi),"Đinh Tùng Huy, ACV",0,,
209,Đã Đến Lúc,Shin Hồng Vịnh,0,,
210,All I Want For Christmas Is You,Mariah Carey,0,,
211,Pick Out A Christmas Tree,Dan + Shay,0,,
212,Funky Glitter Christmas,NMIXX,0,,
213,Fall In Love Alone,Stacey Ryan,0,,
214,Hidamarinokimi,Sonar Pocket,0,,
215,Hồi Kết,Hà Nhi,0,,
216,Đến Giờ Cơm (XHTDRLX2),Ái Phương,0,,
217,Cô Đơn Trên Sofa,Hồ Ngọc Hà,0,,
218,Người Như Anh,Mai Tiến Dũng,0,,
219,dự báo thời tiết hôm nay mưa,GREY D,0,,
220,Vì Lỡ Yêu Em Rồi,Rum,0,,
221,Thất Tình Thường Xấu Tính,"Lyly, Ricky Star",0,,
222,906090,"Tóc Tiên, Mew Amazing",0,,
223,"Dừng Lại Và Quên Thôi (Original Soundtrack From ""Kẻ Độc Hành"")",Trung Quân,0,,
224,Hối Tiếc,Giang Hồng Ngọc,0,,
225,Kết Thúc Bắt Đầu,"Da LAB, Đức Phúc",0,,
226,Chấp Niệm,Trương Thảo Nhi,0,,
227,Cuộc Gọi Về Nhà (XHTDRLX2),Orange,0,,
228,Lu Mờ Tâm Trí,"Ngô Kiến Huy, Vương Anh Tú",0,,
229,Groove Missing,J.Y. Park,0,,
230,Lời Có Cánh,Osad,0,,
231,Đến Giờ Cơm (XHTDRLX2),Ái Phương,0,,
232,Thế Giới Tự Dưng Đứng Yên,Trương Thảo Nhi,0,,
233,Hạnh Phúc Máu,Ali Hoàng Dương,0,,
234,Thiên Tài,ERIK,0,,
235,Beautiful Monster,"SOOBIN, Binz",0,,
236,A Veil Of Mist,SpaceSpeakers,0,,
237,Umee,H2K,0,,
238,Nxde,(G)I-DLE,0,,
239,Cao Gót,SOOBIN,0,,
240,quý cô say xỉn (secret sunday),Phùng Khánh Linh,0,,
241,Tôi Thấy Hoa Vàng Trên Cỏ Xanh (XHTDRLX2),"Ái Phương, Trúc Nhân",0,,
242,Đau Lòng,H-Kray,0,,
243,Trưởng Thành Từ Nước Mắt,Trương Thảo Nhi,0,,
244,Quên Hay Tha Thứ,"Dương Hoàng Yến, Trung Quân",0,,
245,Đố Em Kiếm Ai Yêu Em Như Anh,"Jokes Bii, Phát Hồ",0,,
246,CONG,Tóc Tiên,0,,
247,"Hạnh Phúc Máu (Original Soundtrack From ""Hạnh Phúc Máu"")",Giang Hồng Ngọc,0,,
248,Yêu Em Kiểu,Osad,0,,
249,Buồn Thì Cứ Khóc Đi (XHTDRLX2),Trúc Nhân,0,,
250,Trà Sữa (XHTDRLX2),"Anh Tú, Lyly",0,,
251,Dành Cả Thanh Xuân Cho Một Người,Trương Quỳnh Anh,0,,
252,Đã Từng Hạnh Phúc,Goctoi Mixer,0,,
253,năm ngoái giờ này (after all),Phùng Khánh Linh,0,,
254,Hoa Dại,Trương Quỳnh Anh,0,,
255,Lỡ Một Lời Thương,Vy Oanh,0,,
256,"Nguyện Ước (From ""Dickson Acoustic"")","DICKSON, Mai Fin",0,,
257,Giá Như Ta Đừng Yêu,Bozitt,0,,
258,Lời Thầy,Đào Ngọc Sang,0,,
259,Boys Like You,ITZY,0,,
260,Có Kem Có Em,Jeremy M,0,,
261,Họa Tâm,Trương Quỳnh Anh,0,,
262,Khi Lý Trí Nói Với Con Tim,Shin Hồng Vịnh,0,,
263,Mùa Thu Cho Em,Phương Mỹ Chi,0,,
264,Anh Còn Ở Đó Không?,Trương Quỳnh Anh,0,,
265,Nếu Anh Muốn Đổi Vai,"UMIE, SimonC, Hổ",0,,
266,"True Love (To Sir, With Love OST)",NuNew,0,,
267,​Tình Yêu Và Sự Nghiệp,"Ron Phan, Lê Hà",0,,
268,Thà Như Em Nói,Ron Phan,0,,
269,Anh Yêu Em Cực (CM1X Remix),"Linh Thộn, Minh Vũ",0,,
270,Chàng Trai Sờ Mát,"Tuấn Cry, Tùng Viu",0,,
271,căn gác mùa hè (sweet summer),Phùng Khánh Linh,0,,
272,Chainsaw Blood (Chainsaw Man Ending 1),Vaundy,0,,
273,Chắc Bởi Vì Chưa Quên,Bozitt,0,,
274,Muốn Yêu Một Lần,"Young Ju, Quang Hùng MasterD, Daa Major",0,,
275,Chỉ Muốn Suốt Đời Bên Em,Trương Thế Vinh,0,,
276,Angel In Me,Thảo Trang,0,,
277,Gửi Em Người Thứ Ba,Bùi Vĩnh Phúc,0,,
278,Anh Chưa Biết Em,Liu Grace,0,,
279,Cơm Nhà,ICD,0,,
280,Tài Từ Trong Trứng,Freaky,0,,
281,Sunroof,"Nicky Youre, Dazy, Manuel Turizo",0,,
282,Music For A Sushi Restaurant,Harry Styles,0,,
283,The Shade,Rex Orange County,0,,
284,Lalisa,LISA,0,,
285,Yêu Người Có Ước Mơ,buitruonglinh,0,,
286,Cơn Mưa Xa Dần,Sơn Tùng M-TP,0,,
287,When I Get Old,"Christopher, Chung Ha",0,,
288,Ừ! Em Xin Lỗi,"Hoàng Yến Chibi, B Ray, Khắc Hưng",0,,
289,Chết Trong Em,Thịnh Suy,0,,
290,Nắng Ấm Ngang Qua,Sơn Tùng M-TP,0,,
291,fmk (with blackbear) [messier],GAYLE,0,,
292,Charlie Be Quiet!,Charlie Puth,0,,
293,There’s A First Time For Everything,Charlie Puth,0,,
294,Anh Chưa Biết Em (Remix),"Liu Grace, Kriss Ngo",0,,
295,Lionheart (Fearless),"Joel Corry, Tom Grennan",0,,
296,Don'T Take Your Love,Dvsn,0,,
297,"Santa, Can’t You Hear Me","Kelly Clarkson, Ariana Grande",0,,
298,Die For You,Joji,0,,
299,Cưới Vợ Miền Tây,"Huỳnh James, Pjnboys",0,,
300,Phải Lòng,"Tăng Duy Tân, Phong Max",0,,
301,Bag Talk,Polo G,0,,
302,The Devil You Know,"KSHMR, Micky Blue",0,,
303,Đơn Giản (Champagne Shots Remix),Low G,0,,
304,Last Christmas (New Version),Backstreet Boys,0,,
305,Bad Idea,Dove Cameron,0,,
306,Nhớ Anh (25th Làn Sóng Xanh),Miu Lê,0,,
307,Cuff It (Explicit),Beyoncé,0,,
308,Devil In A Dress,Teddy Swims,0,,
309,Crave Me,"Chores, Jezzabell Doran",0,,
310,Last Christmas,Lukas Graham,0,,
311,Wildflower,Thomas Day,0,,
312,Breakfast In Bed,"Stephanie Poetri, Gnash",0,,
313,Showed Me (How I Fell In Love With You),Madison Beer,0,,
314,Eyes On You,Nicky Youre,0,,
315,"White Christmas (Spotify Singles - Christmas, Recorded At Sound Stage Studios Nashville)",Meghan Trainor,0,,
316,Cô Đơn Trên Sofa (Special Performance),Hồ Ngọc Hà,0,,
317,Selfish,Ali Gatie,0,,
318,Motospeed 24,BIBI,0,,
319,Scared Of Love,Ali Gatie,0,,
320,New Gold (Dom Dolla Remix),"Gorillaz, Tame Impala",0,,
321,I Ain'T Got No Worries,"Ofenbach, R3hab",0,,
322,Shirt,SZA,0,,
323,Worst Day,"Illenium, MAX",0,,
324,It'S Giving Christmas,Chris Brown,0,,
325,Break My Heart,RUDIMENTAL,0,,
326,For The Night,"Chlöe, Latto",0,,
327,October Passed Me By,Girl In Red,0,,
328,Burning Up,"Nardo Wick, The Kid LAROI",0,,
329,Angel,"Jimi Hendrix, Zayn",0,,
330,If I Died Last Night,Jessie Murph,0,,
331,On My Way,Young Jae,0,,
332,Miss You (Sped Up Version),"Oliver Tree, sped up nightcore",0,,
333,Mexico,Clinton Kane,0,,
334,Karma,Trevor Daniel,0,,
335,Turn Off The Alarm,"Mew Suppasit, Suho",0,,
336,Someone Else'S Problem,Ruel,0,,
337,Waiting,Bailey Zimmerman,0,,
338,Psycho B**ch,Thalia,0,,
339,"Sex, Drugs, Etc.",Beach Weather,0,,
340,PSYCHO (The Wild Remix),"Anne-Marie, Aitch",0,,
341,Dawn,Kevin Oh,0,,
342,Since U Been Gone (Juliet’s Version),"Kelly Clarkson, Lorna Courtney",0,,
343,Break My Heart,Rod Wave,0,,
344,Never Gonna Not Dance Again,P!nk,0,,
345,I'M Good,Jo Young Hyun,0,,
346,You Against Yourself,Ruel,0,,
347,Before The Day Is Over,Joji,0,,
348,Marie,Sleepy Hallow,0,,
349,Boy Bi,Mad Tsai,0,,
350,Take It Slow,Dvsn,0,,
351,Luna,Sofia Reyes,0,,
352,Friends,Johnny Stimson,0,,
353,Way U Are,"Jiselle, BIG Naughty",0,,
354,Before You,Benson Boone,0,,
355,All By Myself (Club Mix),"Alok, Sigala, Ellie Goulding",0,,
356,Feeling Like The End,Joji,0,,
357,No One,blake.,0,,
358,Fire (Chinese Version),EXID,0,,
359,Don't Leave Me Lonely,"Clean Bandit, Elley Duhe",0,,
360,Leggo,EXID,0,,
361,Chỉ Một Câu,Thịnh Suy,0,,
362,DON'T SAY NOTHIN' (Explicit),Saweetie,0,,
363,Sunshower,Ayumu Imazu,0,,
364,Take It Slow (Explicit),Dvsn,0,,
365,Give Love On Christmas Day - Recorded At Spotify Studios Nyc (Spotify Singles - Christmas),John Legend,0,,
366,Damn (You’ve Got Me Saying),"Galantis, David Guetta, MNEK",0,,
367,Element,"David Guetta, Morten",0,,
368,Ole Ole,"Timmy Trumpet, Arrow, Rave Republic",0,,
369,Hot Dangerous,Pixxie,0,,
370,Instagram (Remix),"Blessd, De La Ghetto, Darell",0,,
371,Holiday Party,Dan + Shay,0,,
372,Give You What You Want (Explicit),Lil Tjay,0,,
373,Million Dollar Baby (David Penn Remix),Ava Max,0,,
374,300 Blackout,Kodak Black,0,,
375,Akisame,Sonar Pocket,0,,
376,Jumpstart,A7S,0,,
377,I'Ll Be Home For Christmas,Camila Cabello,0,,
378,Unfinished (Acoustic),Noah Cyrus,0,,
379,Shadow Of Mine / 影子对手,"Alec Benjamin, Đoàn Úc Quyên (Duan Ao Juan)",0,,
380,Build It Better (Kat Remix),Natalie Imbruglia,0,,
381,The End,Thomas Day,0,,
382,12 Nights,Sia,0,,
383,Time! Stop!,Lee Chanhyuk,0,,
384,Have Yourself A Merry Little Christmas,Clinton Kane,0,,
385,Ice Spice,NLE Choppa,0,,
386,Try Jesus,Elle King,0,,
387,U Sometimes,John-K,0,,
388,Mirror,Chanmina,0,,
389,The Good Parts,JP Saxe,0,,
390,Down In Atlanta,"Pharrell Williams, Travis Scott",0,,
391,Dime Quién????,Rauw Alejandro,0,,
392,Sal,"Pedro Sampaio, Pabllo Vittar",0,,
393,No Es Amor,"Danny Ocean, Mora",0,,
394,Snow In LA,"Noah Cyrus, PJ Harding",0,,
395,Dear,Ben&Ben,0,,
396,God Turn Me Into A Flower,Weyes Blood,0,,
397,Drown,Kim Dracula,0,,
398,Do You Miss Me?,PinkPantheress,0,,
399,ngủ một mình,"HIEUTHUHAI, Negav, Kewtiie",0,,
400,Hungry (For Love),LF SYSTEM,0,,
401,Feather,제이키(J;KEY),0,,
402,Take Shots,"A Boogie Wit Da Hoodie, Tory Lanez",0,,
403,Autumn Leave,Daewon Kim,0,,
404,Sky,KC Lights,0,,
405,Jersey Giant,Elle King,0,,
406,Delilah (Pull Me Out Of This),Fred again..,0,,
407,Keep Me Alive,Lộc Hàm (Lu Han),0,,
408,Twin (Feat. Lil Durk),Roddy Ricch,0,,
409,Face In The Crowd,Walker Hayes,0,,
410,Wayo,Zion & Lennox,0,,
411,6:00 AM,Channel Tres,0,,
412,Carry It Well (Acoustic),Sam Fischer,0,,
413,Lejos Del Cielo,Rauw Alejandro,0,,
414,Dip It Low,"Ofenbach, Fabich",0,,
415,Olhadinha,"Pedro Sampaio, Ze Felipe",0,,
416,I'm Sorry,Joshua Bassett,0,,
417,Starved,Zach Bryan,0,,
418,Miss You (Remix),"Oliver Tree, Yosuf, Dionysus",0,,
419,Wreckage,Nate Smith,0,,
420,Winner,Shugo Nakamura,0,,
421,Khá Khen,Tóc Tiên,0,,
422,Thay Tâm Đổi Lòng,Vương Anh Tú,0,,
423,Tất Cả Đứng Im,"Ngô Kiến Huy, HIEUTHUHAI",0,,
424,Em Về Tinh Khôi,"AMEE, GREY D, Hoàng Dũng",0,,
425,Anh Tự Do Nhưng Cô Đơn,Trung Quân,0,,
426,1900 Hồi Đó.,Jun Phạm,0,,
427,Tiếng Hát Giữa Rừng Pác Bó,"Đặng Hồng Nhung, Ngọc Mai",1,,
428,Đảng Đã Cho Ta Một Mùa Xuân,V.A,1,,
429,Vì Tổ Quốc Việt Nam Thiêng Liêng,Bằng Cường,1,,
430,Bác Hồ Một Tình Yêu Bao La,Hà Chi,1,,
431,Nhạc Rừng,Khánh Linh,1,,
432,Nổi Lửa Lên Em (Live),Thanh Hằng,1,,
433,LK Giai Điệu Tổ Quốc,V.A,1,,
434,Đất Nước Tôi,Ya Suy,1,,
435,Liên Khúc Nam Bộ Kháng Chiến – Tiếng Hát Đầu Quân,Tình Ca Việt,1,,
436,Thăm Làng Sen Quê Bác,Lê Tuyền,1,,
437,Bước Chân Trên Dãy Trường Sơn (Version 2005),V.A,1,,
438,Chưa Hết Giặc Ta Chưa Về,Tình Ca Việt,1,,
439,Chiến Đấu Vì Độc Lập Tự Do,"Tiến Thành, Bạch Kim",1,,
440,Bài Ca Hà Nội,BLP,1,,
441,Bài Ca Người Giáo Viên Nhân Dân,Dương Quốc Hưng,1,,
442,Thắp Sáng Lửa Hồng,Tốp Ca,1,,
443,Anh Quân Bưu Vui Tính,F5,1,,
444,Mùa Xuân Của Lính,"Nguyễn Tuấn, Nhóm Nhịp Sống Trẻ",1,,
445,Linh Thiêng Việt Nam,Trung Kiên,1,,
446,Tiếng Chày Trên Sóc Bom Bo,"Hương Ly, Hồng Nhung (Dân Ca), Hồng Lụa",1,,
447,Hành Khúc Sư Đoàn 314,V.A,1,,
448,Tuổi Trẻ Thế Hệ Bác Hồ,Tốp Ca CLB Giai Điệu Đỏ,1,,
449,Thênh Thang Đường Mới,Vũ Thắng Lợi,1,,
450,Đêm Nghe Hát Đò Đưa Nhớ Bác,Lê Mận,1,,
451,Tự Hào Người Chiến Sĩ Sư Đoàn 5,Nguyễn Tuấn,1,,
452,Người Đi Xây Hồ Kẻ Gỗ,"Bùi Thắng, Trần Nữ Hạnh",1,,
